outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-3,0.0354889408,0.284075149,0.9005805496,-0.5212983513,0.5922762328,2025-09,49
top3_mean_consumption,-2,-0.039978151,0.2362639873,0.8656317249,-0.5030555662,0.4230992642,2025-09,49
top3_mean_consumption,1,-0.9219347673,0.3962263795,0.0199765538,-1.6985384713,-0.1453310634,2025-09,49
top3_mean_consumption,2,-0.8798843388,0.3535159603,0.0128120178,-1.572775621,-0.1869930566,2025-09,49
top3_mean_consumption,3,-0.680146951,0.3337267458,0.041546384,-1.3342513728,-0.0260425292,2025-09,49
top3_mean_consumption,4,-0.9457210367,0.390634865,0.0154785282,-1.7113653721,-0.1800767014,2025-09,49
top3_mean_consumption,-12,0.109544726,0.360756172,0.7613922008,-0.5975373711,0.8166268232,2025-10,50
top3_mean_consumption,-11,0.3091346509,0.4150977221,0.4564365263,-0.5044568844,1.1227261862,2025-10,50
top3_mean_consumption,-10,-0.1074108131,0.4038414049,0.7902601878,-0.8989399667,0.6841183404,2025-10,50
top3_mean_consumption,-9,0.0494467111,0.3312015423,0.8813209156,-0.5997083118,0.698601734,2025-10,50
top3_mean_consumption,-8,0.1098953986,0.395286213,0.7810010343,-0.6648655789,0.8846563761,2025-10,50
top3_mean_consumption,-7,0.2717679307,0.3831711488,0.4781632081,-0.4792475211,1.0227833824,2025-10,50
top3_mean_consumption,-6,0.1638537679,0.3910287943,0.6751923905,-0.6025626689,0.9302702047,2025-10,50
top3_mean_consumption,-5,0.0361699772,0.3776933063,0.9237068417,-0.7041089032,0.7764488576,2025-10,50
top3_mean_consumption,-4,0.0312346466,0.2932550045,0.9151775701,-0.5435451623,0.6060144555,2025-10,50
top3_mean_consumption,-3,-0.0261847979,0.3053176129,0.9316552273,-0.6246073192,0.5722377233,2025-10,50
top3_mean_consumption,-2,0.02076946,0.3455632205,0.9520734306,-0.6565344522,0.6980733722,2025-10,50
top3_mean_consumption,1,-0.5696467093,0.3851054689,0.1390877717,-1.3244534284,0.1851600097,2025-10,50
top3_mean_consumption,2,-0.6586782141,0.4016952146,0.1010579422,-1.4460008347,0.1286444065,2025-10,50
top3_mean_consumption,3,-0.4320910562,0.4388156274,0.3247834249,-1.2921696858,0.4279875735,2025-10,50
top3_mean_consumption,4,-0.708560095,0.4161195067,0.0886091924,-1.5241543282,0.1070341382,2025-10,50
top3_mean_consumption,-12,0.1547324733,0.2134851129,0.4685791519,-0.263698348,0.5731632946,2025-11,148
top3_mean_consumption,-11,0.0746548711,0.2237900616,0.7386864546,-0.3639736496,0.5132833918,2025-11,148
top3_mean_consumption,-10,0.5023470279,0.2308003957,0.0295146684,0.0499782523,0.9547158035,2025-11,148
top3_mean_consumption,-9,0.4512068442,0.2259162134,0.0458001049,0.0084110658,0.8940026225,2025-11,148
top3_mean_consumption,-8,0.3210254612,0.2370830471,0.1757161727,-0.1436573111,0.7857082334,2025-11,148
top3_mean_consumption,-7,0.420322079,0.2632261595,0.1103081379,-0.0956011935,0.9362453516,2025-11,148
top3_mean_consumption,-6,0.3060837604,0.2385112847,0.1993837202,-0.1613983576,0.7735658784,2025-11,148
top3_mean_consumption,-5,0.0519537943,0.1984024147,0.7934288431,-0.3369149385,0.440822527,2025-11,148
top3_mean_consumption,-4,0.0079217306,0.2121590773,0.9702149999,-0.4079100609,0.4237535221,2025-11,148
top3_mean_consumption,-3,0.0005149484,0.1635932626,0.9974884744,-0.3201278464,0.3211577431,2025-11,148
top3_mean_consumption,-2,0.0015774214,0.1728234291,0.9927175225,-0.3371564996,0.3403113425,2025-11,148
top3_mean_consumption,0,-0.8356088101,0.1874649824,8.2955e-06,-1.2030401757,-0.4681774445,2025-11,148
top3_mean_consumption,1,-0.6815939166,0.2205138423,0.0019952742,-1.1138010476,-0.2493867856,2025-11,148
top3_mean_consumption,2,-0.6732573395,0.2156468389,0.0017960456,-1.0959251438,-0.2505895352,2025-11,148
top3_mean_consumption,3,-0.6567434609,0.2135117615,0.0020985954,-1.0752265134,-0.2382604083,2025-11,148
top3_mean_consumption,-12,0.2318905175,0.2271364553,0.3072874039,-0.213296935,0.67707797,2025-12,121
top3_mean_consumption,-11,0.2100621896,0.2300125546,0.3611037022,-0.2407624174,0.6608867965,2025-12,121
top3_mean_consumption,-10,0.4210442788,0.2399422298,0.0792980493,-0.0492424916,0.8913310493,2025-12,121
top3_mean_consumption,-9,0.2526978635,0.2453098802,0.3029551133,-0.2281095017,0.7335052288,2025-12,121
top3_mean_consumption,-8,0.4843468182,0.2373482086,0.0412847081,0.0191443293,0.9495493071,2025-12,121
top3_mean_consumption,-7,0.1958818753,0.2316136801,0.39770522,-0.2580809376,0.6498446882,2025-12,121
top3_mean_consumption,-6,0.427809503,0.2110969069,0.0427030886,0.0140595655,0.8415594406,2025-12,121
top3_mean_consumption,-5,0.0324749398,0.1796682291,0.8565642152,-0.3196747892,0.3846246688,2025-12,121
top3_mean_consumption,-4,0.0003168958,0.1929695178,0.9986897095,-0.3779033591,0.3785371506,2025-12,121
top3_mean_consumption,-3,0.0354906964,0.2133502699,0.867881966,-0.3826758326,0.4536572255,2025-12,121
top3_mean_consumption,-2,-0.0014468709,0.1969392454,0.9941381641,-0.3874477919,0.3845540502,2025-12,121
top3_mean_consumption,0,-0.4244405567,0.1589642525,0.0075842717,-0.7360104916,-0.1128706218,2025-12,121
top3_mean_consumption,1,-0.2954730632,0.1553856595,0.0572304626,-0.6000289558,0.0090828294,2025-12,121
top3_mean_consumption,2,-0.4977625154,0.1551290844,0.0013333707,-0.8018155209,-0.19370951,2025-12,121
