outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-4,-0.2685523088,0.386633771,0.4873117009,-1.0263544999,0.4892498824,2025-10,50
top3_mean_consumption,-3,-0.1115352136,0.293330738,0.7037694613,-0.6864634601,0.4633930329,2025-10,50
top3_mean_consumption,-2,-0.017847972,0.3402207449,0.9581621862,-0.6846806321,0.6489846881,2025-10,50
top3_mean_consumption,0,1.0257186228,0.4985391469,0.0396431034,0.0485818948,2.0028553507,2025-10,50
top3_mean_consumption,1,1.0181690013,0.5208520208,0.0506049875,-0.0027009594,2.039038962,2025-10,50
top3_mean_consumption,2,1.1091879372,0.5492819311,0.0434517111,0.0325953523,2.1857805221,2025-10,50
top3_mean_consumption,3,1.0305220632,0.5033215083,0.040614615,0.044011907,2.0170322195,2025-10,50
top3_mean_consumption,4,1.0120901958,0.5266036379,0.0546157933,-0.0200529345,2.044233326,2025-10,50
top3_mean_consumption,-12,-0.3655645889,0.2673741178,0.1715500913,-0.8896178597,0.1584886819,2025-11,148
top3_mean_consumption,-11,-0.448889202,0.2701752002,0.0966181889,-0.9784325944,0.0806541904,2025-11,148
top3_mean_consumption,-10,-0.140089616,0.2449327107,0.5673548749,-0.620157729,0.3399784969,2025-11,148
top3_mean_consumption,-9,-0.1407960365,0.2652475391,0.5955504751,-0.660681213,0.3790891401,2025-11,148
top3_mean_consumption,-8,-0.1444944883,0.267375402,0.5889087756,-0.6685502763,0.3795612996,2025-11,148
top3_mean_consumption,-7,0.0043596635,0.2415558031,0.9856003485,-0.4690897105,0.4778090376,2025-11,148
top3_mean_consumption,-6,0.1143421519,0.2386585921,0.6318650442,-0.3534286886,0.5821129924,2025-11,148
top3_mean_consumption,-5,-0.0606011274,0.1841557617,0.7420987122,-0.4215464204,0.3003441656,2025-11,148
top3_mean_consumption,-4,-0.1604173417,0.1989984375,0.4201715708,-0.5504542792,0.2296195957,2025-11,148
top3_mean_consumption,-3,-0.0447816304,0.185804849,0.8095440134,-0.4089591344,0.3193958736,2025-11,148
top3_mean_consumption,-2,-0.226650928,0.1557593161,0.1456317215,-0.5319391876,0.0786373316,2025-11,148
top3_mean_consumption,0,0.2555506929,0.2544001678,0.3151268311,-0.243073636,0.7541750217,2025-11,148
top3_mean_consumption,1,0.2689899684,0.2719093474,0.3225342809,-0.2639523525,0.8019322893,2025-11,148
top3_mean_consumption,2,0.1561429789,0.2757936215,0.5712858515,-0.3844125193,0.6966984771,2025-11,148
top3_mean_consumption,3,0.4183859057,0.277847313,0.1321153609,-0.1261948277,0.9629666391,2025-11,148
top3_mean_consumption,-12,-0.6907261288,0.3002837392,0.0214343514,-1.2792822576,-0.1021699999,2025-12,121
top3_mean_consumption,-11,-0.7198114269,0.2960304063,0.0150345564,-1.3000310233,-0.1395918305,2025-12,121
top3_mean_consumption,-10,-0.650680123,0.3015130406,0.0309239689,-1.2416456827,-0.0597145634,2025-12,121
top3_mean_consumption,-9,-0.5063416731,0.2853073818,0.0759435775,-1.0655441413,0.0528607952,2025-12,121
top3_mean_consumption,-8,-0.5459584551,0.2899441079,0.0597033127,-1.1142489066,0.0223319964,2025-12,121
top3_mean_consumption,-7,-0.676027556,0.2889573027,0.0193074345,-1.2423838692,-0.1096712428,2025-12,121
top3_mean_consumption,-6,-0.1989749469,0.2722211093,0.4648210771,-0.7325283211,0.3345784274,2025-12,121
top3_mean_consumption,-5,-0.4792603472,0.2643194345,0.0698031099,-0.9973264389,0.0388057445,2025-12,121
top3_mean_consumption,-4,-0.5141195104,0.2608420924,0.0487239871,-1.0253700115,-0.0028690093,2025-12,121
top3_mean_consumption,-3,-0.5017356017,0.2645959575,0.0579292336,-1.0203436784,0.0168724749,2025-12,121
top3_mean_consumption,-2,-0.2890917743,0.2576515511,0.2618513275,-0.7940888144,0.2159052659,2025-12,121
top3_mean_consumption,0,0.0908987489,0.1957658168,0.6424156981,-0.292802252,0.4745997499,2025-12,121
top3_mean_consumption,1,0.2872735457,0.2056032778,0.1623466436,-0.1157088787,0.6902559701,2025-12,121
top3_mean_consumption,2,0.0913897637,0.2172817021,0.6740435641,-0.3344823724,0.5172618999,2025-12,121
