outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,2,0.3097484573,0.3783274977,0.4129398956,-0.4317734382,1.0512703528,2025-08,40
top3_mean_consumption,3,-0.0106079881,0.4328699315,0.980448855,-0.8590330537,0.8378170776,2025-08,40
top3_mean_consumption,4,-0.1301502961,0.4641219891,0.7791532981,-1.0398293948,0.7795288026,2025-08,40
top3_mean_consumption,5,-0.4966749765,0.470532189,0.2911692652,-1.418918067,0.425568114,2025-08,40
top3_mean_consumption,6,-0.1741630299,0.4608430352,0.7054880416,-1.0774153788,0.729089319,2025-08,40
top3_mean_consumption,-12,-0.8944235978,0.4321553325,0.0384822451,-1.7414480495,-0.0473991461,2025-09,49
top3_mean_consumption,-11,-0.8471852638,0.4359070048,0.0519557754,-1.7015629933,0.0071924656,2025-09,49
top3_mean_consumption,-10,-0.5657582817,0.4861290432,0.2445039872,-1.5185712065,0.387054643,2025-09,49
top3_mean_consumption,-9,-0.4279627501,0.4363470539,0.3266986583,-1.2832029758,0.4272774756,2025-09,49
top3_mean_consumption,-8,-0.2936977558,0.4536123879,0.5173315942,-1.182778036,0.5953825244,2025-09,49
top3_mean_consumption,-7,-0.3725660694,0.4525437587,0.410354006,-1.2595518365,0.5144196977,2025-09,49
top3_mean_consumption,-6,-0.4156327633,0.4394494734,0.3442489207,-1.2769537311,0.4456882045,2025-09,49
top3_mean_consumption,-5,-0.3491102245,0.3757463053,0.3528312899,-1.0855729829,0.3873525339,2025-09,49
top3_mean_consumption,-4,0.0485591714,0.3726441625,0.8963213584,-0.6818233871,0.7789417299,2025-09,49
top3_mean_consumption,-3,0.0328816204,0.3497716969,0.9251021597,-0.6526709055,0.7184341464,2025-09,49
top3_mean_consumption,-2,0.3251087388,0.2739350537,0.2353027496,-0.2118039664,0.8620214439,2025-09,49
top3_mean_consumption,0,0.5061971592,0.3575503793,0.1568526375,-0.1946015842,1.2069959025,2025-09,49
top3_mean_consumption,1,0.6183551061,0.4119772592,0.1333698513,-0.189120322,1.4258305342,2025-09,49
